Number doctors and hospitals,Number of proposals,Average rank of match for doctors,Average rank of match for hospitals
300,1985,5.616666666666666,43.22666666666667
300,2441,7.136666666666667,36.32
300,1466,3.8866666666666667,60.333333333333336
300,1860,5.2,43.88666666666666
300,2165,6.216666666666667,43.50333333333333
300,1776,4.92,48.24333333333333
300,1704,4.68,45.89333333333333
300,1617,4.39,51.236666666666665
300,1573,4.243333333333333,56.63333333333333
300,1581,4.27,51.84
300,2175,6.25,42.17333333333333
300,1458,3.86,58.81
300,1741,4.803333333333334,48.156666666666666
300,1274,3.2466666666666666,62.45
300,1654,4.513333333333334,51.693333333333335
300,2382,6.94,37.72
300,1576,4.253333333333333,57.59
300,2019,5.73,44.93
300,2212,6.373333333333333,38.766666666666666
300,1665,4.55,54.3
300,2101,6.003333333333333,42.06
